Plan,City,State,Zip_code,County,ISP,Network_ tech,Municipal_network,Download_speed_Mbps,Upload_speed_Mbps,Cost_per_download Mbps,Data_cap_GB,Data_overage_penalty_per_50GB,Price,Term _months,Autopay_/_paperless_discount,Activation_fee,Installation_fee,Self_install_ fee,Router_rental_monthly,Modem_rental_monthly,Ttl_rental_costs,router_purchase_cost,Modem_purchase_cost,Ttl_purch_costs,requirement_months,Termination_fee,Address_used
"Kansas City KS, Spectrum, 940",Kansas City, KS,66104,Wyandotte,Charter,Cable,No,940,35,7.46,,,125.99,12,,0,199,,5,,5,,,0,,1,2428 Stewart Ave
"Kansas City MO, AT&T, 100",Kansas City, MO,64111,Wyandotte,AT&T Internet,Fiber,No,100,100,1.43,1000,10,70,12/ongoing,,35,99,0,,,0,,,0,12,180,3707 Valentine Rd
"Kansas City MO, AT&T, 1000",Kansas City, MO,64111,Wyandotte,AT&T Internet,Fiber,No,1000,1000,10,,,100,12,,0,99,,,,0,,,0,12,180,3707 Valentine Rd
"Kansas City MO, AT&T, 300",Kansas City, MO,64111,Wyandotte,AT&T Internet,Fiber,No,300,300,3.33,1000,10,90,12/ongoing,,35,0,,,,0,,,0,12,180,3707 Valentine Rd
"Kansas City MO, AT&T, 5",Kansas City, MO,64108,Wyandotte,AT&T Internet,ADSL,No,5,1,0.08,1000,10,60,12/ongoing,,35,99,0,,,0,,,0,12,180,3028 Grand Ave
"Kansas City MO, AT&T, 50",Kansas City, MO,64108,Wyandotte,AT&T Internet,ADSL,No,50,10,0.71,1000,10,70,12/ongoing,,35,99,0,,,0,,,0,12,180,3028 Grand Ave
"Kansas City MO, CenturyLink, 20",Kansas City, MO,64106,Wyandotte,CenturyLink,ADSL,No,20,0.8,0.4,,,50,,,,125,,5,15,20,,150,150,1,,Not applicable
"Kansas City MO, Consolidated, 100",Kansas City, MO,64114,Wyandotte,Consolidated Communications,Cable,No,100,5,1.25,,,79.95,12,,,0,,10,8,18,,,0,12,,441 W 81st St Apt 106
"Kansas City MO, Consolidated, 20",Kansas City, MO,64114,Wyandotte,Consolidated Communications,Cable,No,20,5,0.39,,,50.95,12,,,0,,10,8,18,,,0,12,,441 W 81st St Apt 106
"Kansas City MO, Consolidated, 50",Kansas City, MO,64114,Wyandotte,Consolidated Communications,Cable,No,50,5,0.76,,,65.95,12,,,0,,10,8,18,,,0,12,,441 W 81st St Apt 106
"Kansas City MO, Google, 100",Kansas City, MO,64108,Wyandotte,Google Fiber,Fiber,No,100,100,2,,,50,,,,,,0,0,0,,,0,1,,Not applicable
"Kansas City MO, Google, 1000",Kansas City, MO,64108,Wyandotte,Google Fiber,Fiber,No,1000,1000,14.29,,,70,,,,,,0,0,0,,,0,1,,Not applicable
"Kansas City MO, KCCoyote, 1",Kansas City, MO,,Wyandotte,KCCoyote,Fiber,No,1,1,0.03,,,39.95,,,,300,,0,0,0,,,0,1,,Not applicable
"Kansas City MO, KCCoyote, 1-2",Kansas City, MO,,Wyandotte,KCCoyote,Fiber,No,2,2,0.04,,,49.95,,,,300,,0,0,0,,,0,1,,Not applicable
"Kansas City MO, KCCoyote, 2-3",Kansas City, MO,,Wyandotte,KCCoyote,Fiber,No,3,3,0.05,,,59.95,,,,300,,0,0,0,,,0,1,,Not applicable
"Kansas City MO, KCCoyote, 3-4",Kansas City, MO,,Wyandotte,KCCoyote,Fiber,No,4,4,0.06,,,69.95,,,,300,,0,0,0,,,0,1,,Not applicable
"Kansas City MO, KCCoyote, 4-5",Kansas City, MO,,Wyandotte,KCCoyote,Fiber,No,5,5,0.06,,,79.95,,,,300,,0,0,0,,,0,1,,Not applicable
"Kansas City MO, KCCoyote, 5-6",Kansas City, MO,,Wyandotte,KCCoyote,Fiber,No,6,6,0.07,,,89.95,,,,300,,0,0,0,,,0,1,,Not applicable
"Kansas City MO, KCCoyote, 6-7",Kansas City, MO,,Wyandotte,KCCoyote,Fiber,No,7,7,0.07,,,99.95,,,,300,,0,0,0,,,0,1,,Not applicable
"Kansas City MO, Spectrum, 400",Kansas City, MO,64111,Wyandotte,Charter,Cable,No,400,20,13.34,,,29.99,12,,,49.99,9.99,5,0,5,,,0,1,,3707 Valentine Rd
"Kansas City MO, Spectrum, 940",Kansas City, MO,64111,Wyandotte,Charter,Cable,No,940,35,10.45,,,89.99,12,,,199.99,9.99,5,0,5,,,0,12,,3707 Valentine Rd
"Kansas City MO, Xfinity, 1000",Kansas City, MO,64126,Wyandotte,Comcast,Cable,No,1000,35,11.11,,,89.99,12,,,89.99,14.99,13,11,24,,,0,12,,1912 Hazel St
"Kansas City MO, Xfinity, 1000",Kansas City, MO,64126,Wyandotte,Comcast,Cable,No,1000,35,14.29,,,70,24,,,89.99,14.99,,11,11,,,0,24,,1912 Hazel St
"Kansas City MO, Xfinity, 150A",Kansas City, MO,64126,Wyandotte,Comcast,Cable,No,150,5,3.33,,,44.99,12,,,89.99,14.99,13,11,24,,,0,12,,1912 Hazel St
"Kansas City MO, Xfinity, 150B",Kansas City, MO,64126,Wyandotte,Comcast,Cable,No,150,5,2.31,,,64.99,12,,,89.99,14.99,,11,11,,,0,1,,1912 Hazel St
"Kansas City MO, Xfinity, 15A",Kansas City, MO,64126,Wyandotte,Comcast,Cable,No,15,2,0.75,,,19.99,12,,,89.99,14.99,13,11,24,,,0,12,,1912 Hazel St
"Kansas City MO, Xfinity, 15B",Kansas City, MO,64126,Wyandotte,Comcast,Cable,No,15,2,0.38,,,39.99,12,,,89.99,14.99,,11,11,,,0,1,,1912 Hazel St
"Kansas City MO, Xfinity, 2000",Kansas City, MO,64126,Wyandotte,Comcast,Fiber,No,2000,2000,6.67,,,299.95,24,,,89.99,14.99,,11,11,,,0,24,,1912 Hazel St
"Kansas City MO, Xfinity, 250A",Kansas City, MO,64126,Wyandotte,Comcast,Cable,No,250,5,4.17,,,59.99,12,,,89.99,14.99,13,11,24,,,0,12,,1912 Hazel St
"Kansas City MO, Xfinity, 250B",Kansas City, MO,64126,Wyandotte,Comcast,Cable,No,250,5,3.13,,,79.99,12,,,89.99,14.99,,11,11,,,0,1,,1912 Hazel St
"Kansas City MO, Xfinity, 400A",Kansas City, MO,64126,Wyandotte,Comcast,Cable,No,400,10,5.33,,,74.99,12,,,89.99,14.99,13,11,24,,,0,12,,1912 Hazel St
"Kansas City MO, Xfinity, 400B",Kansas City, MO,64126,Wyandotte,Comcast,Cable,No,400,10,3.42,,,116.95,,,,89.99,14.99,,11,11,,,0,1,,1912 Hazel St
"Kansas City MO, Xfinity, 60A",Kansas City, MO,64126,Wyandotte,Comcast,Cable,No,60,2,2,,,29.99,12,,,89.99,14.99,13,11,24,,,0,12,,1912 Hazel St
"Kansas City MO, Xfinity, 60B",Kansas City, MO,64126,Wyandotte,Comcast,Cable,No,60,2,1.2,,,49.99,12,,,89.99,14.99,,11,11,,,0,1,,1912 Hazel St
"Lafayette, AT&T, 100",Lafayette, LA,70503,Lafayette,AT&T Internet,Fiber,No,100,100,1.43,1000,10,70,12/ongoing,,35,99,0,,,0,,,0,12,180,300 Claymore Dr
"Lafayette, AT&T, 1000",Lafayette, LA,70503,Lafayette,AT&T Internet,Fiber,No,1000,1000,10,,,100,12,,0,99,,,,0,,,0,12,180,300 Claymore Dr
"Lafayette, AT&T, 18",Lafayette, LA,70501,Lafayette,AT&T Internet,ADSL,No,18,1.5,0.26,1000,10,70,12/ongoing,,35,99,0,,,0,,,0,12,180,515 E Vermilion St
"Lafayette, AT&T, 300",Lafayette, LA,70503,Lafayette,AT&T Internet,Fiber,No,300,300,3.33,1000,10,90,12/ongoing,,35,99,0,,,0,,,0,12,180,300 Claymore Dr
"Lafayette, AT&T, 5",Lafayette, LA,70501,Lafayette,AT&T Internet,ADSL,No,5,1,0.08,1000,10,60,12/ongoing,,35,99,0,,,0,,,0,12,180,515 E Vermilion St
"Lafayette, Cox, 100",Lafayette, LA,70501,Lafayette,Cox Communications,Cable,No,100,10,1.19,1000,10,83.99,24,,,0,,,10.99,10.99,,,0,1,120,515 E Vermilion St
"Lafayette, Cox, 1000",Lafayette, LA,70501,Lafayette,Cox Communications,Cable,No,1000,35,8.33,1000,10,119.99,24,,,0,,,0,0,,,0,1,120,515 E Vermilion St
"Lafayette, Cox, 30",Lafayette, LA,70501,Lafayette,Cox Communications,Cable,No,30,3,0.45,1000,10,65.99,12,,,0,,,10.99,10.99,,,0,12,120,515 E Vermilion St
"Lafayette, Cox, 300",Lafayette, LA,70501,Lafayette,Cox Communications,Cable,No,300,30,2.86,1000,10,104.99,24,,,0,,,10.99,10.99,,,0,1,120,515 E Vermilion St
"Lafayette, LUS, 100",Lafayette, LA,,Lafayette,Lafayette Utilities System,Fiber,Yes,100,100,1.59,,,62.95,6,,,50,,9.99,,9.99,,,0,12,,Not applicable
"Lafayette, LUS, 1000",Lafayette, LA,,Lafayette,Lafayette Utilities System,Fiber,Yes,1000,1000,8.7,,,114.95,6,,,50,,9.99,,9.99,,,0,12,,Not applicable
"Lafayette, LUS, 10000",Lafayette, LA,,Lafayette,Lafayette Utilities System,Fiber,Yes,10000,10000,33.79,,,295.95,,,,50,,9.99,,9.99,,,0,12,,Not applicable
"Lafayette, LUS, 300",Lafayette, LA,,Lafayette,Lafayette Utilities System,Fiber,Yes,300,300,3.37,,,88.95,6,,,50,,9.99,,9.99,,,0,12,,Not applicable
"Los Angeles, AT&T, 100",Los Angeles, CA,90047,Los Angeles,AT&T Internet,Fiber,No,100,100,1.67,1000,10,60,12,,35,99,0,,,0,,,0,12,180,1824 W 64th St
"Los Angeles, AT&T, 1000",Los Angeles, CA,90047,Los Angeles,AT&T Internet,Fiber,No,1000,1000,10,,,100,12,,35,0,0,,,0,,,0,12,180,1824 W 64th St
"Los Angeles, AT&T, 25",Los Angeles, CA,90062,Los Angeles,AT&T Internet,ADSL,No,25,5,0.42,1000,10,60,12,,35,99,0,,,0,,,0,12,180,1854 W 50th St
"Los Angeles, AT&T, 300",Los Angeles, CA,90047,Los Angeles,AT&T Internet,Fiber,No,300,300,3.75,1000,10,80,12,,35,0,0,,,0,,,0,12,180,1824 W 64th St
"Los Angeles, AT&T, 5",Los Angeles, CA,90047,Los Angeles,AT&T Internet,ADSL,No,5,1,0.1,1000,10,50,12,,35,99,0,,,0,,,0,12,180,1824 W 64th St
"Los Angeles, Frontier, 25",Los Angeles, CA,90047,Los Angeles,Frontier,ADSL,No,25,,0.71,,,34.99,,,,75,,10,,10,,,0,1,,1822 W 64th St
"Los Angeles, Frontier, 45",Los Angeles, CA,90047,Los Angeles,Frontier,ADSL,No,45,,1,,,44.99,,,,40,,10,,10,,,0,1,,1823 W 64th St
"Los Angeles, Frontier, 6",Los Angeles, CA,90047,Los Angeles,Frontier,ADSL,No,6,,0.21,,,27.99,,,,75,0,10,,10,,,0,1,,1821 W 64th St
"Los Angeles, Spectrum, 100",Los Angeles, CA,90011,Los Angeles,Charter,Cable,No,100,,1.52,,,65.99,12,,,49.99,9.99,,,0,,,0,,1,905 E Vernon Ave
"Los Angeles, Spectrum, 30",Los Angeles, CA,90011,Los Angeles,Charter,Cable,No,30,,2,,,14.99,,,,49.99,9.99,,,0,,,0,,1,905 E Vernon Ave
"Los Angeles, Spectrum, 400",Los Angeles, CA,90011,Los Angeles,Charter,Cable,No,400,,4.4,,,90.99,12,,,49.99,9.99,,,0,,,0,,1,905 E Vernon Ave
"Los Angeles, Spectrum, 940",Los Angeles, CA,90011,Los Angeles,Charter,Cable,No,940,,7.46,,,125.99,12,,,199.99,,,,0,,,0,,1,905 E Vernon Ave
"New York NY, Optimum, 200",New York, NY,11226,New York,Optimum by Altice,Cable,No,200,35,4.45,,,44.99,price for life promotion,,0,59,,0,10,10,,,0,,,2412 Cortelyou Road
"New York NY, Optimum, 300",New York, NY,11226,New York,Optimum by Altice,Cable,No,300,35,5.46,,,54.99,price for life promotion,,0,0,,0,10,10,,,0,,,2413 Cortelyou Road
"New York NY, Optimum, 400",New York, NY,11226,New York,Optimum by Altice,Cable,No,400,40,6.15,,,64.99,price for life promotion,,0,0,,0,10,10,,,0,,,2414 Cortelyou Road
"New York, BarrierFree, 10",New York, NY,,New York,Barrier Communications,Fiber,No,10,10,0.1,,,99,,,,,,0,10,10,,,0,,,Not applicable
"New York, Fios, 1000",New York, NY,11205,New York,Verizon,Fiber,No,1000,1000,7.41,,,134.99,,10,,99,,0,,0,,199.99,199.99,1,350,140 Washington Ave
"New York, Fios, 200",New York, NY,11205,New York,Verizon,Fiber,No,200,200,1.74,,,114.99,12,10,,99,,12,,12,,199.99,199.99,12,350,140 Washington Ave
"New York, Fios, 200",New York, NY,11205,New York,Verizon,Fiber,No,200,200,1.74,,,114.99,36,10,,99,,12,,12,,199.99,199.99,36,350,140 Washington Ave
"New York, Fios, 400",New York, NY,11205,New York,Verizon,Fiber,No,400,400,3.2,,,124.99,24,10,,99,,12,,12,,199,199,24,350,Not applicable
"New York, NY, Brooklyn Fiber Basic",New York, NY,,New York,Brooklyn Fiber,Fiber,No,20,10,0.27,,,75,,,,0,,,,0,,,0,1,,Not applicable
"New York, NY, Brooklyn Fiber Pro",New York, NY,,New York,Brooklyn Fiber,Fiber,No,50,25,0.23,,,215,,,,0,,,,0,,,0,1,,Not applicable
"New York, NY, Brooklyn Fiber Speed",New York, NY,,New York,Brooklyn Fiber,Fiber,No,30,20,0.3,,,100,,,,0,,,,0,,,0,1,,Not applicable
"New York, NY, Optimum, 30",New York, NY,,New York,Optimum by Altice,Cable,No,30,3,2,,,14.99,,,,30,,0,0,0,,,0,1,,Not applicable
"New York, RCN 500",New York, NY,11201,New York,Radiate Holdings,Fiber,No,500,500,14.29,,,34.99,12,,9.99,49.95,,Included in modem fee,10,#VALUE!,,,0,1,,"195 Adams St, APT 2G"
"New York, RCN, 1000",New York, NY,11201,New York,Radiate Holdings,Fiber,No,1000,1000,20,,,49.99,12,,9.99,49.95,,Included in modem fee,10,#VALUE!,,,0,1,,"195 Adams St, APT 2G"
"New York, RCN, 155",New York, NY,11201,New York,Radiate Holdings,Fiber,No,155,155,5.17,,,29.99,12,,9.99,49.95,,Included in modem fee,10,#VALUE!,,,0,1,,"195 Adams St, APT 2G"
"New York, RCN, 250",New York, NY,11201,New York,Radiate Holdings,Fiber,No,250,250,7.14,,,34.99,12,,9.99,49.95,,Included in modem fee,10,#VALUE!,,,0,1,,"195 Adams St, APT 2G"
"New York, Spectrum, 100",New York, NY,10110,New York,Charter,Cable,No,100,10,2.22,,,44.99,12,,,49.99,9.99,5,0,5,,,0,1,,"275 Central Park W, 201"
"New York, Spectrum, 200",New York, NY,10027,New York,Charter,Cable,No,200,10,3.03,,,65.99,12,,,49.99,9.99,5,0,5,,,0,1,,"132 W 127th ST, 1"
"New York, Spectrum, 30",New York, NY,10034,New York,Charter,Cable,No,30,4,2,,,14.99,,,,49.99,9.99,5,0,5,,,0,1,,"109 Sherman Ave, 1"
"New York, Spectrum, 400",New York, NY,10027,New York,Charter,Cable,No,400,20,4.4,,,90.99,12,,,49.99,9.99,5,0,5,,,0,1,,"132 W 127th ST, 1"
"New York, Spectrum, 940",New York, NY,10027,New York,Charter,Cable,No,940,35,7.46,,,125.99,12,,,199.99,9.99,0,0,0,,,0,1,,"132 W 127th ST, 1"
"San Francisco, AT&T, 100",San Francisco, CA,94121,San Francisco,AT&T Internet,Fiber,No,100,100,1.43,1000,10,70,12,,35,99,0,,,0,,,0,12,180,378 20th Ave
"San Francisco, AT&T, 1000",San Francisco, CA,94121,San Francisco,AT&T Internet,Fiber,No,1000,1000,10,1000,10,100,12,,,99,,,,0,,,0,12,180,378 20th Ave
"San Francisco, AT&T, 18",San Francisco, CA,94110,San Francisco,AT&T Internet,ADSL,No,18,1.5,0.3,1000,10,60,12,,35,99,0,,,0,,,0,12,180,3376 23rd St
"San Francisco, AT&T, 300",San Francisco, CA,94121,San Francisco,AT&T Internet,Fiber,No,300,300,3.33,1000,10,90,12,,,0,,,,0,,,0,12,180,378 20th Ave
"San Francisco, AT&T, 5",San Francisco, CA,94121,San Francisco,AT&T Internet,ADSL,No,5,1,0.1,1000,10,50,12,,35,99,0,,,0,,,0,12,180,378 20th Ave
"San Francisco, EarthLink, 1000",San Francisco, CA,,San Francisco,EarthLink,Fiber,No,1000,1000,20.02,,,49.95,,,50,50,0,,6.95,6.95,,,0,12,200,Not applicable
"San Francisco, i-Step, 1.5",San Francisco, CA,,San Francisco,i-Step,DSL,No,1.5,0.384,0.04,,,39,,,,0,,,,0,,,0,,,Not applicable
"San Francisco, i-Step, 1.5",San Francisco, CA,,San Francisco,i-Step,DSL,No,1.5,0.384,0.03,,,49,,,,25,,,,0,,,0,,,Not applicable
"San Francisco, i-Step, 10",San Francisco, CA,,San Francisco,i-Step,DSL,No,10,1,0.11,,,91,,,,25,,,,0,,,0,,,Not applicable
"San Francisco, i-Step, 15",San Francisco, CA,,San Francisco,i-Step,DSL,No,15,1,0.15,,,98,,,,25,,,,0,,,0,,,Not applicable
"San Francisco, i-Step, 6",San Francisco, CA,,San Francisco,i-Step,DSL,No,6,0.768,0.12,,,49,,,,0,,,,0,,,0,,,Not applicable
"San Francisco, i-Step, 6",San Francisco, CA,,San Francisco,i-Step,DSL,No,6,0.768,0.09,,,69,,,,25,,,,0,,,0,,,Not applicable
"San Francisco, i-Step, 8",San Francisco, CA,,San Francisco,i-Step,DSL,No,8,1,0.1,,,83,,,,25,,,,0,,,0,,,Not applicable
"San Francisco, LMi 1000",San Francisco, CA,,San Francisco,LMi,Fiber,No,1000,1000,20.02,,,49.95,10,,,0,,9.5,,9.5,,,0,1,0,Not applicable
"San Francisco, LMi 50",San Francisco, CA,,San Francisco,LMi,ADSL2+,No,50,16,1,,,49.95,12,,,150,,9.5,,9.5,,,0,1,0,Not applicable
"San Francisco, Race, 1000",San Francisco, CA,94109,San Francisco,Race Communications,Fiber,No,1000,1000,16.67,,,60,,,,,,10,,10,,,0,,,Not applicable
"San Francisco, Race, 25",San Francisco, CA,,San Francisco,Race Communications,Fiber,No,25,25,1,,,25,,,,,,10,,10,,,0,,,Not applicable
"San Francisco, Raw, 12",San Francisco, CA,,San Francisco,Raw Bandwidth,ADSL,No,12,1,0.3,,,39.95,,,50,50,0,,,0,,,0,12,15/remaining month,Not applicable
"San Francisco, Raw, 20",San Francisco, CA,,San Francisco,Raw Bandwidth,ADSL,No,20,1.5,0.4,,,49.95,,,50,50,0,,,0,,,0,12,15/remaining month,Not applicable
"San Francisco, Raw, 3",San Francisco, CA,,San Francisco,Raw Bandwidth,ADSL,No,3,0.512,0.1,,,29.95,,,50,50,0,,,0,,,0,12,15/remaining month,Not applicable
"San Francisco, Raw, 50",San Francisco, CA,,San Francisco,Raw Bandwidth,VDSL,No,50,5,1,,,49.95,,,50,50,0,,,0,,,0,12,15/remaining month,Not applicable
"San Francisco, Sonic, 1000",San Francisco, CA,94121,San Francisco,Sonic Telecom,Fiber,No,1000,1000,20,,,50,12,,,0,,,9.5,9.5,,,0,1,149,378 20th Ave
"San Francisco, Wave, 1000",San Francisco, CA,94110,San Francisco,WaveDivision Holdings,Cable,No,1000,10,10.01,,,99.95,12,,,60,,,15,15,,,0,1,,3376 23rd St
"San Francisco, Wave, 250",San Francisco, CA,94110,San Francisco,WaveDivision Holdings,Cable,No,250,10,3.13,500,,79.95,12,,,60,,,15,15,,,0,1,,3376 23rd St
"San Francisco, Wave, 50",San Francisco, CA,94110,San Francisco,WaveDivision Holdings,Cable,No,50,5,1,300,,49.95,12,,,60,,,15,15,,,0,1,,3376 23rd St
"San Francisco, Wave, 500",San Francisco, CA,94110,San Francisco,WaveDivision Holdings,Cable,No,500,10,5.56,1000,,89.95,12,,,60,,,15,15,,,0,1,,3376 23rd St
"San Francisco, webpass, 1 year",San Francisco, CA,94109,San Francisco,Google Fiber,Fiber,No,1000,,21.74,,,46,,,,0,,,,0,,,0,12,,1433 Bush Street 94109
"San Francisco, webpass, monthly ",San Francisco, CA,94109,San Francisco,Google Fiber,Fiber,No,1000,,16.67,,,60,,,,0,,,,0,,,0,1,,1433 Bush Street 94109
"San Francisco, Xfinity, 1000A",San Francisco, CA,94109,San Francisco,Comcast,Cable,No,1000,35,11.11,,,89.99,12,,,89.99,15,,13,13,,,0,24,,1928 Pine St
"San Francisco, Xfinity, 1000B",San Francisco, CA,94109,San Francisco,Comcast,Cable,No,1000,35,11.11,,,89.99,24,,,89.99,15,,13,13,,,0,1,,1928 Pine St
"San Francisco, Xfinity, 150A",San Francisco, CA,94109,San Francisco,Comcast,Cable,No,150,5,3.33,,,44.99,12,,,89.99,15,,13,13,,,0,12,,1928 Pine St
"San Francisco, Xfinity, 150B",San Francisco, CA,94109,San Francisco,Comcast,Cable,No,150,5,2.31,,,64.99,12,,,89.99,15,,13,13,,,0,1,,1928 Pine St
"San Francisco, Xfinity, 15A",San Francisco, CA,94109,San Francisco,Comcast,Cable,No,15,2,0.5,,,29.99,12,,,89.99,15,,13,13,,,0,12,,1928 Pine St
"San Francisco, Xfinity, 15B",San Francisco, CA,94109,San Francisco,Comcast,Cable,No,15,2,0.38,,,39.99,12,,,89.99,15,,13,13,,,0,1,,1928 Pine St
"San Francisco, Xfinity, 2000",San Francisco, CA,,San Francisco,Comcast,Cable,No,2000,2000,6.67,,,299.95,24,,,,,,,0,,,0,24,,Not applicable
"San Francisco, Xfinity, 250A",San Francisco, CA,94109,San Francisco,Comcast,Cable,No,250,10,4.17,,,59.99,12,,,89.99,15,,13,13,,,0,12,,1928 Pine St
"San Francisco, Xfinity, 250B",San Francisco, CA,94109,San Francisco,Comcast,Cable,No,250,10,3.13,,,79.99,12,,,89.99,15,,13,13,,,0,1,,1928 Pine St
"San Francisco, Xfinity, 400A",San Francisco, CA,94109,San Francisco,Comcast,Cable,No,400,,5.33,,,74.99,12,,,89.99,15,,13,13,,,0,12,,1928 Pine St
"San Francisco, Xfinity, 400B",San Francisco, CA,94109,San Francisco,Comcast,Cable,No,400,,3.36,,,118.95,12,,,89.99,15,,13,13,,,0,1,,1928 Pine St
"San Francisco, Xfinity, 60A",San Francisco, CA,94109,San Francisco,Comcast,Cable,No,60,5,2,,,29.99,12,,,89.99,15,,13,13,,,0,12,,1928 Pine St
"San Francisco, Xfinity, 60B",San Francisco, CA,94109,San Francisco,Comcast,Cable,No,60,5,1.2,,,49.99,12,,,89.99,15,,13,13,,,0,1,,1928 Pine St
"Seattle, CenturyLink, 1000",Seattle, WA,98126,King,CenturyLink,Fiber,No,940,940,11.06,,,85,,,,0,,,,0,,0,0,1,,3278 38th Ave SW
"Seattle, CenturyLink, 12",Seattle, WA,98102,King,CenturyLink,ADSL,No,12,,0.27,,,45,,,,99,0,,10,10,,100,100,1,1,505 11th Ave E
"Seattle, CenturyLink, 5",Seattle, WA,98116,King,CenturyLink,ADSL,No,5,,0.11,,,45,,,,99,0,,10,10,,100,100,1,1,2229 44th Ave SW
"Seattle, CenturyLink, 7",Seattle, WA,98116,King,CenturyLink,ADSL,No,7,,0.16,,,45,,,,99,0,,10,10,,100,100,1,1,4106 SW Lander St
"Seattle, Wave 1000",Seattle, WA,98122,King,WaveDivision Holdings,Cable,No,1000,10,10.01,2000,Throttling,99.95,12,,,60,,2,13,15,,,0,1,1,910 13th Ave
"Seattle, Wave, 10",Seattle, WA,98122,King,WaveDivision Holdings,Cable,No,10,1,0.23,100,,42.95,12,,,60,,2,13,15,,,0,1,1,910 13th Ave
"Seattle, Wave, 100",Seattle, WA,98122,King,WaveDivision Holdings,Cable,No,100,5,1.43,400,,69.95,12,,,60,,2,13,15,,,0,1,1,910 13th Ave
"Seattle, Wave, 250",Seattle, WA,98122,King,WaveDivision Holdings,Cable,No,250,10,3.13,500,,79.95,12,,,60,,2,13,15,,,0,1,1,910 13th Ave
"Seattle, WaveG, 100",Seattle, WA,98121,King,WaveDivision Holdings,Fiber,No,100,100,1.67,2000,Throttling,60,,,,,,13,,13,,,0,1,1,2300 Elliot Ave
"Seattle, WaveG, 1000",Seattle, WA,98121,King,WaveDivision Holdings,Fiber,No,1000,1000,12.5,2000,Throttling,80,,,,,,13,,13,,,0,1,1,25 Vine St
"Seattle, Webpass, 1000A",Seattle, WA,98121,King,Google Fiber,Fiber,No,1000,1000,16.67,,,60,,,,0,,,,0,,,0,1,,425 Vine St
"Seattle, Webpass, 1000B",Seattle, WA,98121,King,Google Fiber,Fiber,No,1000,1000,21.74,,,46,,,,0,,,,0,,,0,12,,425 Vine St
"Seattle, Xfinity, 1000A",Seattle, WA,98109,King,Comcast,Cable,No,1000,,11.11,1000,10,89.99,12,,,89.99,,,13,13,,,0,12,,110 Taylor Ave
"Seattle, Xfinity, 1000B",Seattle, WA,98109,King,Comcast,Cable,No,1000,,11.11,1000,10,89.99,24,,,89.99,,,13,13,,,0,24,,111 Taylor Ave
"Seattle, Xfinity, 150A",Seattle, WA,98109,King,Comcast,Cable,No,150,5,3.33,1000,10,44.99,12,,,89.99,14.99,,13,13,,,0,12,,104 Taylor Ave
"Seattle, Xfinity, 150B",Seattle, WA,98109,King,Comcast,Cable,No,150,5,2.31,1000,10,64.99,12,,,89.99,14.99,,13,13,,,0,1,,105 Taylor Ave
"Seattle, Xfinity, 15A",Seattle, WA,98109,King,Comcast,Cable,No,15,2,0.5,1000,10,29.99,12,,,89.99,14.99,,13,13,,,0,12,,100 Taylor Ave
"Seattle, Xfinity, 15B",Seattle, WA,98109,King,Comcast,Cable,No,15,2,0.38,1000,10,39.99,12,,,89.99,14.99,,13,13,,,0,1,,100 Taylor Ave
"Seattle, Xfinity, 2000",Seattle, WA,98109,King,Comcast,Cable,No,2000,,6.67,,,299.95,,,,,,,13,13,,,0,24,,112 Taylor Ave
"Seattle, Xfinity, 250A",Seattle, WA,98109,King,Comcast,Cable,No,250,10,4.17,1000,10,59.99,12,,,89.99,14.99,,13,13,,,0,12,,106 Taylor Ave
"Seattle, Xfinity, 250B",Seattle, WA,98109,King,Comcast,Cable,No,250,10,3.13,1000,10,79.99,12,,,89.99,14.99,,13,13,,,0,1,,107 Taylor Ave
"Seattle, Xfinity, 400A",Seattle, WA,98109,King,Comcast,Cable,No,400,,5.33,1000,10,74.99,12,,,89.99,14.99,,13,13,,,0,12,,108 Taylor Ave
"Seattle, Xfinity, 400B",Seattle, WA,98109,King,Comcast,Cable,No,400,,3.57,1000,10,111.95,,,,89.99,,,13,13,,,0,1,,109 Taylor Ave
"Seattle, Xfinity, 60A",Seattle, WA,98109,King,Comcast,Cable,No,60,5,2,1000,10,29.99,12,,,89.99,14.99,,13,13,,,0,12,,102 Taylor Ave
"Seattle, Xfinity, 60B",Seattle, WA,98109,King,Comcast,Cable,No,60,5,1.2,1000,10,49.99,12,,,89.99,0,,13,13,,,0,1,,103 Taylor Ave
"Washington, Fios, 100",Washington, DC,20009,District Of Columbia,Verizon,Fiber,No,100,100,0.95,,,104.99,12,10,,39,,12,0,12,,199.99,199.99,1,350,1737 Q St NW
"Washington, Fios, 100",Washington, DC,20009,District Of Columbia,Verizon,Fiber,No,100,100,0.95,,,104.99,24,10,,39,,12,0,12,,199.99,199.99,1,350,1737 Q St NW
"Washington, Fios, 1000",Washington, DC,20009,District Of Columbia,Verizon,Fiber,No,940,880,6.96,,,134.99,36,10,,99,,0,0,0,,199.99,199.99,1,350,1737 Q St NW
"Washington, Fios, 300",Washington, DC,20009,District Of Columbia,Verizon,Fiber,No,300,300,1.46,,,204.99,24,10,,99,,12,0,12,,199.99,199.99,1,350,1737 Q St NW
"Washington, RCN, 10",Washington, DC,20017,District Of Columbia,Radiate Holdings,Cable,No,10,4,0.5,,,19.99,12,,9.99,49.95,,Included in modem fee,10,#VALUE!,,,0,1,,1350 Jackson St NE
