Geography,2020_Year_Wage,2019_Year_Wage,2018_Year_Wage
"Attala County, Mississippi",35672.0,31128.0,32292.0
"Audrain County, Missouri",38376.0,34428.0,30564.0
"Audubon County, Iowa",38064.0,35460.0,34692.0
"Auglaize County, Ohio",45344.0,42384.0,38724.0
"Augusta County, Virginia",47372.0,42108.0,72684.0
"Aurora County, South Dakota",34580.0,30528.0,37896.0
"Austin County, Texas",50232.0,45804.0,47160.0
"Autauga County, Alabama",43524.0,37248.0,35448.0
"Avery County, North Carolina",32240.0,31200.0,31344.0
"Avoyelles Parish, Louisiana",33592.0,30312.0,36348.0
"A¤asco Municipio, Puerto Rico",32968.0,26472.0,24528.0
"Baca County, Colorado",32812.0,30816.0,29256.0
"Bacon County, Georgia",36712.0,33396.0,32640.0
"Bailey County, Texas",42484.0,36504.0,42384.0
"Baker County, Florida",31148.0,31236.0,40896.0
"Baker County, Georgia",39624.0,33708.0,34068.0
"Baker County, Oregon",36036.0,34740.0,45132.0
"Baldwin County, Alabama",37596.0,35340.0,33960.0
"Baldwin County, Georgia",32812.0,32400.0,32580.0
"Ballard County, Kentucky",56940.0,44556.0,37368.0
"Baltimore City, Maryland",71084.0,63240.0,39252.0
"Baltimore County, Maryland",59176.0,53244.0,54108.0
"Bamberg County, South Carolina",35360.0,32328.0,35544.0
"Bandera County, Texas",36140.0,34344.0,35640.0
"Banks County, Georgia",34996.0,31440.0,30936.0
"Bannock County, Idaho",36296.0,34896.0,34368.0
"Baraga County, Michigan",40456.0,38640.0,34188.0
"Barber County, Kansas",40820.0,32448.0,35448.0
"Barbour County, Alabama",38324.0,34500.0,35256.0
"Barbour County, West Virginia",43992.0,38388.0,40860.0
"Barceloneta Municipio, Puerto Rico",33956.0,27792.0,27588.0
"Barnes County, North Dakota",39468.0,37140.0,38928.0
"Barnstable County, Massachusetts",49660.0,46284.0,60072.0
"Barnwell County, South Carolina",35984.0,33840.0,31416.0
"Barranquitas Municipio, Puerto Rico",17732.0,19572.0,25392.0
"Barren County, Kentucky",38168.0,34128.0,39552.0
"Barron County, Wisconsin",38584.0,36384.0,35676.0
"Barrow County, Georgia",42588.0,38424.0,32220.0
"Barry County, Michigan",41080.0,37824.0,37284.0
"Barry County, Missouri",38220.0,36732.0,33684.0
"Bartholomew County, Indiana",68640.0,52872.0,46788.0
"Barton County, Kansas",39624.0,35976.0,32172.0
"Barton County, Missouri",34424.0,30828.0,34692.0
"Bartow County, Georgia",47164.0,41340.0,38280.0
"Bastrop County, Texas",39156.0,37524.0,33912.0
"Bates County, Missouri",31408.0,30876.0,29496.0
"Bath County, Kentucky",40248.0,34896.0,33768.0
"Bath County, Virginia",45084.0,37104.0,39720.0
"Baxter County, Arkansas",35880.0,33504.0,32592.0
"Bay County, Florida",41236.0,40296.0,32352.0
"Bay County, Michigan",46436.0,39744.0,38256.0
"Bayam¢n Municipio, Puerto Rico",24180.0,23760.0,20688.0
"Bayfield County, Wisconsin",31408.0,31044.0,33912.0
"Baylor County, Texas",35308.0,31788.0,35256.0
"Beadle County, South Dakota",42432.0,38244.0,32568.0
"Bear Lake County, Idaho",23920.0,27072.0,32160.0
"Beaufort County, North Carolina",41444.0,35664.0,32040.0
"Beaufort County, South Carolina",40820.0,37512.0,35016.0
"Beauregard Parish, Louisiana",46332.0,38796.0,32052.0
"Beaver County, Oklahoma",48256.0,42132.0,32916.0
"Beaver County, Pennsylvania",58552.0,49104.0,39348.0
"Beaver County, Utah",32968.0,31500.0,41016.0
"Beaverhead County, Montana",35724.0,34332.0,38496.0
"Becker County, Minnesota",36192.0,37440.0,45876.0
"Beckham County, Oklahoma",47164.0,44844.0,44136.0
"Bedford County, Pennsylvania",34528.0,34536.0,41400.0
"Bedford County, Tennessee",40144.0,37404.0,48516.0
"Bedford County, Virginia",39468.0,35832.0,34656.0
"Bee County, Texas",34788.0,35388.0,33468.0
"Belknap County, New Hampshire",45084.0,41016.0,48804.0
"Bell County, Kentucky",32812.0,31560.0,32400.0
"Bell County, Texas",47372.0,45072.0,35832.0
"Belmont County, Ohio",39780.0,38700.0,41136.0
"Beltrami County, Minnesota",39416.0,40200.0,36780.0
"Ben Hill County, Georgia",34164.0,30780.0,37872.0
"Benewah County, Idaho",44460.0,38340.0,29640.0
"Bennett County, South Dakota",26156.0,31692.0,35124.0
"Bennington County, Vermont",43628.0,41496.0,43164.0
"Benson County, North Dakota",42536.0,37776.0,36312.0
"Bent County, Colorado",36504.0,33900.0,32880.0
"Benton County, Arkansas",81692.0,57696.0,54732.0
"Benton County, Indiana",42952.0,37020.0,45516.0
"Benton County, Iowa",39832.0,36720.0,36216.0
"Benton County, Minnesota",43784.0,40668.0,39228.0
"Benton County, Mississippi",30836.0,33864.0,30240.0
