Geography,2020_Year_Wage,2019_Year_Wage,2018_Year_Wage
"Cherokee County, North Carolina",32136.0,31848.0,34056.0
"Cherokee County, Oklahoma",28912.0,33696.0,38088.0
"Cherokee County, South Carolina",37180.0,33300.0,42288.0
"Cherokee County, Texas",34372.0,34260.0,50952.0
"Cherry County, Nebraska",28028.0,29364.0,33240.0
"Chesapeake City, Virginia",46592.0,41664.0,48396.0
"Cheshire County, New Hampshire",51792.0,43824.0,36708.0
"Chester County, Pennsylvania",81692.0,66960.0,52920.0
"Chester County, South Carolina",45344.0,41640.0,34176.0
"Chester County, Tennessee",35100.0,33480.0,36996.0
"Chesterfield County, South Carolina",39936.0,35652.0,38484.0
"Chesterfield County, Virginia",50544.0,44784.0,35364.0
"Cheyenne County, Colorado",48516.0,40368.0,37680.0
"Cheyenne County, Kansas",38584.0,32724.0,34884.0
"Cheyenne County, Nebraska",40612.0,37428.0,35112.0
"Chickasaw County, Iowa",41288.0,39720.0,38292.0
"Chickasaw County, Mississippi",37752.0,32736.0,29844.0
"Chicot County, Arkansas",32864.0,31416.0,30096.0
"Childress County, Texas",35516.0,36456.0,33960.0
"Chilton County, Alabama",39312.0,36072.0,34896.0
"Chippewa County, Michigan",31304.0,37320.0,32148.0
"Chippewa County, Minnesota",37856.0,37128.0,32472.0
"Chippewa County, Wisconsin",43004.0,38784.0,36636.0
"Chisago County, Minnesota",47372.0,42216.0,39276.0
"Chittenden County, Vermont",58968.0,52152.0,41292.0
"Choctaw County, Alabama",55744.0,48024.0,46572.0
"Choctaw County, Mississippi",54912.0,40644.0,34344.0
"Choctaw County, Oklahoma",31252.0,30744.0,31704.0
"Chouteau County, Montana",33332.0,28824.0,36780.0
"Chowan County, North Carolina",34372.0,34680.0,31332.0
"Christian County, Illinois",44512.0,36660.0,42024.0
"Christian County, Kentucky",41756.0,40404.0,31488.0
"Christian County, Missouri",32708.0,31188.0,29088.0
"Churchill County, Nevada",47216.0,44316.0,45324.0
"Ciales Municipio, Puerto Rico",14872.0,18300.0,19776.0
"Cibola County, New Mexico",36192.0,33804.0,33000.0
"Cidra Municipio, Puerto Rico",26364.0,23904.0,20124.0
"Cimarron County, Oklahoma",36868.0,32292.0,30120.0
"Citrus County, Florida",38532.0,35184.0,35868.0
"Clackamas County, Oregon",56992.0,50568.0,48444.0
"Claiborne County, Mississippi",76856.0,50328.0,41100.0
"Claiborne County, Tennessee",37648.0,33780.0,32412.0
"Claiborne Parish, Louisiana",40716.0,35544.0,30516.0
"Clallam County, Washington",35724.0,38808.0,37236.0
"Clare County, Michigan",38584.0,36276.0,36156.0
"Clarendon County, South Carolina",25896.0,27972.0,33156.0
"Clarion County, Pennsylvania",33748.0,34656.0,55884.0
"Clark County, Arkansas",36816.0,33216.0,32160.0
"Clark County, Idaho",57200.0,38196.0,36504.0
"Clark County, Illinois",39832.0,35592.0,34608.0
"Clark County, Indiana",42952.0,39420.0,35100.0
"Clark County, Kansas",45604.0,35004.0,31152.0
"Clark County, Kentucky",42692.0,40728.0,38904.0
"Clark County, Missouri",26208.0,25464.0,28980.0
"Clark County, Nevada",51948.0,46512.0,44916.0
"Clark County, Ohio",43316.0,38784.0,38532.0
"Clark County, South Dakota",41132.0,31740.0,30840.0
"Clark County, Washington",56472.0,51348.0,40044.0
"Clark County, Wisconsin",39260.0,35928.0,36792.0
"Clarke County, Alabama",43940.0,38316.0,37152.0
"Clarke County, Georgia",44980.0,43848.0,39312.0
"Clarke County, Iowa",39988.0,37380.0,36804.0
"Clarke County, Mississippi",34268.0,30648.0,45276.0
"Clarke County, Virginia",45864.0,40560.0,42624.0
"Clatsop County, Oregon",38428.0,36072.0,45588.0
"Clay County, Alabama",37752.0,32832.0,31620.0
"Clay County, Arkansas",29796.0,29208.0,27840.0
"Clay County, Florida",39988.0,37308.0,34716.0
"Clay County, Georgia",26468.0,28152.0,37788.0
"Clay County, Illinois",36816.0,34872.0,34224.0
"Clay County, Indiana",36504.0,32676.0,36456.0
"Clay County, Iowa",40872.0,39096.0,38544.0
"Clay County, Kansas",30784.0,29112.0,33936.0
"Clay County, Kentucky",32240.0,33708.0,37788.0
"Clay County, Minnesota",39572.0,38760.0,40092.0
"Clay County, Mississippi",37908.0,34608.0,31260.0
"Clay County, Missouri",52468.0,46380.0,30036.0
"Clay County, Nebraska",41392.0,39852.0,40128.0
"Clay County, North Carolina",30732.0,30816.0,32856.0
"Clay County, South Dakota",32604.0,35412.0,31260.0
"Clay County, Tennessee",29900.0,28368.0,32448.0
"Clay County, Texas",35828.0,35148.0,35064.0
"Clay County, West Virginia",26676.0,29508.0,36852.0
"Clayton County, Georgia",73684.0,54996.0,38076.0
"Clayton County, Iowa",37596.0,37512.0,37056.0
"Clear Creek County, Colorado",50076.0,44160.0,42612.0
"Clearfield County, Pennsylvania",40976.0,38208.0,34944.0
"Clearwater County, Idaho",36764.0,35544.0,37296.0
"Clearwater County, Minnesota",40716.0,38376.0,37572.0
"Cleburne County, Alabama",44252.0,39732.0,40764.0
"Cleburne County, Arkansas",33436.0,32652.0,30540.0
"Clermont County, Ohio",46176.0,42180.0,38520.0
"Cleveland County, Arkansas",34944.0,31020.0,29388.0
"Cleveland County, North Carolina",40144.0,38388.0,31308.0
"Cleveland County, Oklahoma",35932.0,38160.0,32460.0
"Clinch County, Georgia",37752.0,33600.0,45444.0
"Clinton County, Illinois",36192.0,35964.0,34704.0
"Clinton County, Indiana",43264.0,38184.0,33456.0
"Clinton County, Iowa",44148.0,39384.0,37704.0
"Clinton County, Kentucky",30316.0,27984.0,32076.0
"Clinton County, Michigan",41704.0,39576.0,37164.0
"Clinton County, Missouri",36764.0,34272.0,41136.0
"Clinton County, New York",42796.0,42756.0,41460.0
"Clinton County, Ohio",55120.0,45444.0,42060.0
"Clinton County, Pennsylvania",41548.0,40620.0,37488.0
"Cloud County, Kansas",33852.0,28872.0,28524.0
"Coahoma County, Mississippi",36244.0,32160.0,33276.0
"Coal County, Oklahoma",35568.0,37104.0,35544.0
"Coamo Municipio, Puerto Rico",18564.0,19320.0,24708.0
"Cobb County, Georgia",67236.0,56196.0,39432.0
"Cochise County, Arizona",44356.0,43728.0,42516.0
"Cochran County, Texas",47424.0,38640.0,35280.0
"Cocke County, Tennessee",36244.0,34032.0,29340.0
"Coconino County, Arizona",41080.0,40452.0,39996.0
"Codington County, South Dakota",41340.0,37860.0,35712.0
"Coffee County, Alabama",34580.0,32676.0,31980.0
"Coffee County, Georgia",36608.0,33204.0,47808.0
"Coffee County, Tennessee",46020.0,42648.0,34560.0
"Coffey County, Kansas",82316.0,56976.0,37788.0
"Coke County, Texas",69784.0,38532.0,36396.0
"Colbert County, Alabama",43888.0,41580.0,40992.0
"Cole County, Missouri",41860.0,39756.0,33696.0
"Coleman County, Texas",31304.0,30264.0,35304.0
"Coles County, Illinois",38740.0,36864.0,35064.0
"Colfax County, Nebraska",44304.0,42036.0,38664.0
"Colfax County, New Mexico",30888.0,30852.0,32892.0
"Colleton County, South Carolina",34112.0,32844.0,28200.0
"Collier County, Florida",51636.0,46200.0,38532.0
"Collin County, Texas",78988.0,63120.0,37896.0
"Collingsworth County, Texas",42848.0,37608.0,54828.0
"Colonial Heights City, Virginia",30108.0,30144.0,37524.0
Colorado,68120.0,57072.0,54396.0
"Colorado County, Texas",45136.0,40896.0,37392.0
"Colquitt County, Georgia",36816.0,32916.0,32208.0
"Columbia County, Arkansas",41912.0,37404.0,37188.0
"Columbia County, Florida",37752.0,36120.0,42528.0
"Columbia County, Georgia",38116.0,36612.0,32976.0
"Columbia County, New York",40976.0,39048.0,40668.0
"Columbia County, Oregon",40612.0,37596.0,35400.0
"Columbia County, Pennsylvania",39676.0,38424.0,38784.0
"Columbia County, Washington",43992.0,41340.0,46140.0
"Columbia County, Wisconsin",44200.0,38544.0,37020.0
"Columbiana County, Ohio",38896.0,35976.0,40836.0
"Columbus County, North Carolina",35776.0,33204.0,36132.0
"Colusa County, California",42432.0,40656.0,40896.0
"Comal County, Texas",46956.0,41856.0,39708.0
"Comanche County, Kansas",29380.0,27300.0,49416.0
"Comanche County, Oklahoma",38168.0,37620.0,32580.0
"Comanche County, Texas",37336.0,33036.0,37608.0
"Comer¡o Municipio, Puerto Rico",19292.0,19008.0,18984.0
"Concho County, Texas",40976.0,36696.0,34056.0
"Concordia Parish, Louisiana",35776.0,32124.0,33864.0
"Conecuh County, Alabama",37388.0,34368.0,33084.0
"Conejos County, Colorado",34268.0,29628.0,28356.0
Connecticut,80704.0,64428.0,62556.0
"Contra Costa County, California",76128.0,65424.0,63684.0
"Converse County, Wyoming",58864.0,54036.0,44808.0
"Conway County, Arkansas",40768.0,36792.0,36132.0
"Cook County, Georgia",32448.0,30312.0,33996.0
"Cook County, Illinois",79664.0,63876.0,43512.0
"Cook County, Minnesota",28912.0,30372.0,36120.0
"Cooke County, Texas",49868.0,44544.0,35664.0
"Cooper County, Missouri",34684.0,31020.0,36816.0
"Coos County, Oregon",36504.0,37740.0,36552.0
"Coosa County, Alabama",37700.0,33492.0,34140.0
"Copiah County, Mississippi",33540.0,31128.0,32184.0
"Corozal Municipio, Puerto Rico",16380.0,18600.0,18924.0
"Corson County, South Dakota",38376.0,34968.0,35664.0
"Cortland County, New York",41080.0,38604.0,37536.0
"Coryell County, Texas",45032.0,39972.0,42468.0
"Coshocton County, Ohio",41288.0,36552.0,35820.0
"Costilla County, Colorado",36192.0,29508.0,27744.0
"Cottle County, Texas",43212.0,42108.0,38712.0
"Cotton County, Oklahoma",32604.0,34716.0,35004.0
"Cottonwood County, Minnesota",39572.0,36072.0,31356.0
"Covington City, Virginia",52988.0,48636.0,33888.0
"Covington County, Alabama",37180.0,34080.0,33564.0
"Covington County, Mississippi",38168.0,33540.0,31404.0
"Coweta County, Georgia",42328.0,39420.0,31704.0
"Cowley County, Kansas",43160.0,36756.0,28344.0
"Cowlitz County, Washington",54028.0,48252.0,40908.0
"Craig County, Oklahoma",33800.0,34452.0,32652.0
"Craig County, Virginia",37648.0,31896.0,38088.0
"Craighead County, Arkansas",41236.0,37704.0,36444.0
"Crane County, Texas",70928.0,53928.0,41052.0
"Craven County, North Carolina",39416.0,41544.0,34476.0
"Crawford County, Arkansas",36868.0,34236.0,33240.0
"Crawford County, Georgia",34736.0,30492.0,36312.0
"Crawford County, Illinois",53872.0,48468.0,58104.0
"Crawford County, Indiana",37180.0,31032.0,35364.0
"Crawford County, Iowa",44876.0,40188.0,39120.0
"Crawford County, Kansas",37908.0,33204.0,34632.0
"Crawford County, Michigan",44980.0,39948.0,39168.0
"Crawford County, Missouri",39000.0,34092.0,31560.0
"Crawford County, Ohio",41912.0,37524.0,35616.0
"Crawford County, Pennsylvania",39832.0,38016.0,37320.0
"Crawford County, Wisconsin",36712.0,33600.0,36504.0
"Creek County, Oklahoma",45344.0,42000.0,34272.0
"Crenshaw County, Alabama",37440.0,35604.0,33912.0
"Crisp County, Georgia",36192.0,34488.0,30888.0
"Crittenden County, Arkansas",37648.0,34764.0,34344.0
"Crittenden County, Kentucky",32292.0,30480.0,28416.0
"Crockett County, Tennessee",51844.0,39540.0,41412.0
"Crockett County, Texas",52052.0,40668.0,57084.0
"Crook County, Oregon",51272.0,42768.0,37860.0
"Crook County, Wyoming",47632.0,42192.0,47208.0
"Crosby County, Texas",41652.0,36000.0,37656.0
"Cross County, Arkansas",32448.0,31560.0,31248.0
"Crow Wing County, Minnesota",40768.0,38508.0,35652.0
"Crowley County, Colorado",40560.0,40152.0,38040.0
"Culberson County, Texas",61516.0,51000.0,36852.0
"Cullman County, Alabama",39624.0,36888.0,35652.0
"Culpeper County, Virginia",43316.0,40668.0,33360.0
"Cumberland County, Illinois",30992.0,31224.0,40272.0
"Cumberland County, Kentucky",36452.0,34920.0,30144.0
"Cumberland County, Maine",60112.0,49944.0,39084.0
"Cumberland County, New Jersey",43784.0,43620.0,36732.0
"Cumberland County, North Carolina",37596.0,40896.0,39984.0
"Cumberland County, Pennsylvania",53976.0,48576.0,40320.0
"Cumberland County, Tennessee",34580.0,31896.0,35676.0
"Cumberland County, Virginia",31356.0,31680.0,37728.0
"Cuming County, Nebraska",41704.0,38052.0,39492.0
"Currituck County, North Carolina",36140.0,32940.0,38448.0
"Curry County, New Mexico",37232.0,34740.0,30504.0
"Curry County, Oregon",32812.0,33840.0,39936.0
"Custer County, Colorado",32708.0,30864.0,30480.0
"Custer County, Idaho",32292.0,29988.0,33504.0
"Custer County, Montana",35620.0,35976.0,31488.0
"Custer County, Nebraska",39936.0,36072.0,36876.0
"Custer County, Oklahoma",43108.0,40968.0,39912.0
"Custer County, South Dakota",37284.0,33072.0,36108.0
"Cuyahoga County, Ohio",63648.0,54396.0,40692.0
"Dade County, Georgia",39312.0,32880.0,33252.0
"Dade County, Missouri",32604.0,28272.0,31824.0
"Daggett County, Utah",37908.0,30744.0,36912.0
"Dakota County, Minnesota",62244.0,53580.0,41724.0
"Dakota County, Nebraska",46176.0,45996.0,36648.0
"Dale County, Alabama",55692.0,50016.0,49632.0
"Dallam County, Texas",47268.0,42204.0,46128.0
"Dallas County, Alabama",42588.0,36900.0,34800.0
"Dallas County, Arkansas",35984.0,31272.0,30000.0
"Dallas County, Iowa",67808.0,53532.0,48072.0
"Dallas County, Missouri",24752.0,25668.0,26304.0
"Dallas County, Texas",79560.0,65604.0,47892.0
"Dane County, Wisconsin",61308.0,54288.0,38172.0
"Daniels County, Montana",45032.0,37716.0,35712.0
"Danville City, Virginia",39468.0,35352.0,45984.0
"Dare County, North Carolina",33488.0,32544.0,32820.0
"Darke County, Ohio",42536.0,37260.0,48708.0
"Darlington County, South Carolina",53612.0,44184.0,35400.0
"Dauphin County, Pennsylvania",59592.0,52404.0,48192.0
"Davidson County, North Carolina",42900.0,38208.0,32580.0
"Davidson County, Tennessee",67288.0,57360.0,38100.0
"Davie County, North Carolina",39832.0,35988.0,36288.0
"Daviess County, Indiana",37128.0,34788.0,30564.0
"Daviess County, Kentucky",44772.0,39516.0,34992.0
"Daviess County, Missouri",28808.0,26064.0,24936.0
"Davis County, Utah",46332.0,43500.0,32148.0
"Davison County, South Dakota",42536.0,38232.0,32808.0
"Dawes County, Nebraska",29380.0,31860.0,39804.0
"Dawson County, Georgia",32448.0,30132.0,32460.0
"Dawson County, Montana",43940.0,38472.0,40860.0
"Dawson County, Nebraska",39780.0,37644.0,32328.0
"Dawson County, Texas",44356.0,38376.0,55572.0
"Day County, South Dakota",36244.0,31332.0,35712.0
"De Baca County, New Mexico",31928.0,31968.0,32364.0
"De Soto Parish, Louisiana",59124.0,48744.0,35736.0
"De Witt County, Illinois",67964.0,50208.0,43464.0
"DeKalb County, Alabama",37856.0,35280.0,34500.0
"DeKalb County, Georgia",65104.0,54552.0,37104.0
"DeKalb County, Illinois",43836.0,42096.0,33204.0
"DeKalb County, Indiana",51532.0,44724.0,43524.0
"DeKalb County, Missouri",34996.0,33012.0,28104.0
"DeKalb County, Tennessee",39364.0,36072.0,35160.0
"DeSoto County, Florida",37440.0,35004.0,34824.0
"DeSoto County, Mississippi",35724.0,33384.0,31824.0
"DeWitt County, Texas",51272.0,44232.0,45696.0
"Deaf Smith County, Texas",45240.0,39840.0,37488.0
"Dearborn County, Indiana",38376.0,35952.0,34416.0
"Decatur County, Georgia",37752.0,32400.0,29616.0
"Decatur County, Indiana",47216.0,41796.0,37236.0
"Decatur County, Iowa",32448.0,31092.0,36732.0
"Decatur County, Kansas",33696.0,26952.0,31020.0
"Decatur County, Tennessee",39364.0,34524.0,49968.0
"Deer Lodge County, Montana",39728.0,36876.0,37368.0
"Defiance County, Ohio",46644.0,40116.0,37620.0
"Del Norte County, California",37492.0,37260.0,36084.0
Delaware,65572.0,54024.0,52476.0
"Delaware County, Indiana",41080.0,38664.0,42552.0
"Delaware County, Iowa",45292.0,40092.0,32568.0
"Delaware County, New York",47892.0,44232.0,39396.0
"Delaware County, Ohio",68068.0,53148.0,43524.0
"Delaware County, Oklahoma",32656.0,30684.0,38016.0
"Delaware County, Pennsylvania",65988.0,56088.0,52836.0
"Delta County, Colorado",35152.0,33648.0,32544.0
"Delta County, Michigan",40456.0,37716.0,38556.0
"Delta County, Texas",23608.0,24972.0,34464.0
"Denali Borough, Alaska",77012.0,46176.0,48180.0
"Dent County, Missouri",29848.0,29424.0,30840.0
"Denton County, Texas",54080.0,47112.0,30132.0
"Denver County, Colorado",86528.0,68388.0,65316.0
"Des Moines County, Iowa",43680.0,39288.0,39288.0
"Deschutes County, Oregon",48152.0,43908.0,35268.0
"Desha County, Arkansas",39104.0,34116.0,33024.0
"Deuel County, Nebraska",32916.0,30600.0,34776.0
"Deuel County, South Dakota",45396.0,39324.0,32460.0
"Dewey County, Oklahoma",55640.0,47952.0,33588.0
"Dewey County, South Dakota",34320.0,37548.0,38232.0
"Dickens County, Texas",37544.0,30876.0,38184.0
"Dickenson County, Virginia",44616.0,37356.0,32364.0
"Dickey County, North Dakota",40664.0,35196.0,39432.0
"Dickinson County, Iowa",40612.0,35652.0,37896.0
"Dickinson County, Kansas",35776.0,32616.0,26328.0
"Dickinson County, Michigan",47216.0,44940.0,39192.0
"Dickson County, Tennessee",39260.0,37008.0,35796.0
"Dillingham Census Area, Alaska",52208.0,44544.0,42624.0
"Dillon County, South Carolina",31512.0,31572.0,39144.0
"Dimmit County, Texas",57304.0,53676.0,36048.0
"Dinwiddie County, Virginia",52572.0,41616.0,37116.0
District of Columbia,100464.0,90492.0,88536.0
District of Columbia,100464.0,90492.0,88536.0
District of Columbia,100464.0,90492.0,88536.0
District of Columbia,100464.0,90492.0,88536.0
District of Columbia,100464.0,90492.0,88536.0
District of Columbia,100464.0,90492.0,88536.0
District of Columbia,100464.0,90492.0,88536.0
District of Columbia,100464.0,90492.0,88536.0
"Divide County, North Dakota",47268.0,48936.0,37332.0
"Dixie County, Florida",34164.0,31920.0,32916.0
"Dixon County, Nebraska",44668.0,35400.0,30468.0
"Doddridge County, West Virginia",67860.0,52380.0,35208.0
"Dodge County, Georgia",31824.0,30780.0,46344.0
"Dodge County, Minnesota",48152.0,44280.0,48924.0
"Dodge County, Nebraska",42848.0,38196.0,34152.0
"Dodge County, Wisconsin",48828.0,43020.0,48888.0
"Dolores County, Colorado",33332.0,32580.0,31332.0
"Doniphan County, Kansas",41080.0,34428.0,30984.0
"Donley County, Texas",32396.0,29532.0,45780.0
"Dooly County, Georgia",37024.0,32736.0,31200.0
"Door County, Wisconsin",37336.0,33000.0,38976.0
"Dorado Municipio, Puerto Rico",28548.0,25944.0,19464.0
"Dorchester County, Maryland",36348.0,38028.0,41268.0
"Dorchester County, South Carolina",40144.0,36396.0,31476.0
"Dougherty County, Georgia",42328.0,39720.0,33984.0
"Douglas County, Colorado",77584.0,64356.0,59388.0
"Douglas County, Georgia",41288.0,37512.0,38388.0
"Douglas County, Illinois",42380.0,37632.0,42888.0
"Douglas County, Kansas",37804.0,37740.0,33828.0
"Douglas County, Minnesota",43628.0,40332.0,42672.0
"Douglas County, Missouri",27768.0,26448.0,27732.0
"Douglas County, Nebraska",57616.0,50100.0,40200.0
"Douglas County, Nevada",51272.0,44940.0,44016.0
"Douglas County, Oregon",39728.0,38616.0,40704.0
"Douglas County, South Dakota",34008.0,32904.0,35304.0
"Douglas County, Washington",34580.0,35928.0,43200.0
"Douglas County, Wisconsin",42640.0,38784.0,33612.0
"Do¤a Ana County, New Mexico",35464.0,36516.0,32916.0
"Drew County, Arkansas",34164.0,33120.0,32640.0
"DuPage County, Illinois",72176.0,60660.0,43128.0
"Dubois County, Indiana",44304.0,40452.0,37116.0
"Dubuque County, Iowa",48152.0,43644.0,35736.0
"Duchesne County, Utah",52416.0,42948.0,42492.0
"Dukes County, Massachusetts",57252.0,50748.0,47772.0
"Dundy County, Nebraska",37388.0,38280.0,44256.0
"Dunklin County, Missouri",25220.0,26220.0,25416.0
"Dunn County, North Dakota",85228.0,68460.0,55332.0
"Dunn County, Wisconsin",40560.0,39288.0,37716.0
"Duplin County, North Carolina",36452.0,33924.0,33672.0
"Durham County, North Carolina",83356.0,66048.0,41856.0
"Dutchess County, New York",54496.0,51312.0,43344.0
"Duval County, Florida",60164.0,50688.0,38040.0
"Duval County, Texas",37336.0,35832.0,33852.0
"Dyer County, Tennessee",41548.0,37788.0,36360.0
"Eagle County, Colorado",49244.0,44880.0,42336.0
"Early County, Georgia",52208.0,43476.0,37548.0
"East Baton Rouge Parish, Louisiana",56316.0,49884.0,47412.0
"East Carroll Parish, Louisiana",34268.0,28416.0,43824.0
"East Feliciana Parish, Louisiana",41652.0,40044.0,30768.0
"Eastland County, Texas",53768.0,48036.0,38616.0
"Eaton County, Michigan",50856.0,45288.0,43968.0
"Eau Claire County, Wisconsin",48984.0,43524.0,39708.0
"Echols County, Georgia",45448.0,36960.0,39036.0
"Ector County, Texas",66300.0,59520.0,52068.0
"Eddy County, New Mexico",67444.0,59340.0,40068.0
"Eddy County, North Dakota",32760.0,30912.0,56700.0
"Edgar County, Illinois",47164.0,41232.0,53244.0
"Edgecombe County, North Carolina",35984.0,34872.0,55548.0
"Edgefield County, South Carolina",36452.0,36972.0,35544.0
"Edmonson County, Kentucky",31616.0,31464.0,36516.0
"Edmunds County, South Dakota",42536.0,37104.0,33336.0
"Edwards County, Illinois",42276.0,36264.0,39336.0
"Edwards County, Kansas",38636.0,33888.0,35148.0
"Edwards County, Texas",43732.0,36948.0,50484.0
"Effingham County, Georgia",45708.0,39552.0,38352.0
"Effingham County, Illinois",41132.0,37452.0,35808.0
"El Dorado County, California",52780.0,47220.0,46476.0
"El Paso County, Colorado",53196.0,48576.0,46584.0
"El Paso County, Texas",37284.0,36912.0,39636.0
"Elbert County, Colorado",48568.0,41592.0,39132.0
"Elbert County, Georgia",35256.0,33384.0,39696.0
"Elk County, Pennsylvania",44044.0,41028.0,50088.0
"Elkhart County, Indiana",51324.0,44520.0,41568.0
"Elko County, Nevada",55692.0,49668.0,44868.0
"Elliott County, Kentucky",28340.0,28800.0,30444.0
"Ellis County, Kansas",38948.0,35460.0,26040.0
"Ellis County, Oklahoma",40352.0,38088.0,43536.0
"Ellis County, Texas",46644.0,42324.0,34740.0
"Ellsworth County, Kansas",39676.0,34668.0,34692.0
"Elmore County, Alabama",35464.0,34008.0,32532.0
"Elmore County, Idaho",33436.0,32304.0,29724.0
"Emanuel County, Georgia",34632.0,32352.0,32592.0
"Emery County, Utah",48256.0,41844.0,41208.0
"Emmet County, Iowa",38532.0,35820.0,40632.0
"Emmet County, Michigan",41912.0,38544.0,42120.0
"Emmons County, North Dakota",35984.0,34284.0,30768.0
"Emporia City, Virginia",31460.0,28800.0,32976.0
"Erath County, Texas",37076.0,34440.0,35016.0
"Erie County, New York",52936.0,48000.0,49008.0
"Erie County, Ohio",40092.0,36948.0,45912.0
"Erie County, Pennsylvania",42744.0,40092.0,40260.0
"Escambia County, Alabama",40716.0,37524.0,36504.0
"Escambia County, Florida",48048.0,42252.0,46872.0
"Essex County, Massachusetts",65260.0,57084.0,50028.0
"Essex County, New Jersey",83616.0,66900.0,50208.0
"Essex County, New York",40716.0,39264.0,43968.0
"Essex County, Vermont",33072.0,35352.0,46140.0
"Essex County, Virginia",34684.0,32376.0,37488.0
"Estill County, Kentucky",39988.0,32016.0,30276.0
"Etowah County, Alabama",42848.0,34800.0,33780.0
"Eureka County, Nevada",122096.0,97356.0,60588.0
"Evangeline Parish, Louisiana",34424.0,31356.0,37260.0
"Evans County, Georgia",31876.0,30564.0,30360.0
"Fairbanks North Star Borough, Alaska",50544.0,50352.0,48996.0
"Fairfax City, Virginia",58812.0,53076.0,33984.0
"Fairfax County, Virginia",103220.0,82524.0,45180.0
"Fairfield County, Connecticut",112684.0,82368.0,79644.0
"Fairfield County, Ohio",37960.0,36768.0,35016.0
"Fairfield County, South Carolina",56732.0,46584.0,38712.0
"Fajardo Municipio, Puerto Rico",24700.0,23460.0,26268.0
"Fall River County, South Dakota",32656.0,35724.0,35724.0
"Fallon County, Montana",65884.0,48816.0,39348.0
"Falls Church City, Virginia",63700.0,66312.0,53808.0
"Falls County, Texas",36348.0,35280.0,33372.0
"Fannin County, Georgia",32916.0,31752.0,30732.0
"Fannin County, Texas",38688.0,38952.0,35292.0
"Faribault County, Minnesota",41392.0,38148.0,38796.0
"Faulk County, South Dakota",37544.0,31956.0,33660.0
"Faulkner County, Arkansas",41080.0,37956.0,37644.0
"Fauquier County, Virginia",52104.0,46788.0,69312.0
"Fayette County, Alabama",34944.0,31800.0,30720.0
"Fayette County, Georgia",49348.0,43092.0,33576.0
"Fayette County, Illinois",30472.0,33000.0,35208.0
"Fayette County, Indiana",41912.0,35232.0,41328.0
"Fayette County, Iowa",35568.0,34044.0,34776.0
"Fayette County, Kentucky",48672.0,46524.0,34680.0
"Fayette County, Ohio",36660.0,34416.0,35100.0
"Fayette County, Pennsylvania",40872.0,38592.0,38160.0
"Fayette County, Tennessee",46072.0,39996.0,37548.0
"Fayette County, Texas",40976.0,39252.0,38172.0
"Fayette County, West Virginia",38116.0,36228.0,47016.0
"Fentress County, Tennessee",31772.0,30432.0,37848.0
"Fergus County, Montana",36296.0,37080.0,43500.0
"Ferry County, Washington",31512.0,37056.0,34656.0
"Fillmore County, Minnesota",34840.0,32244.0,34848.0
"Fillmore County, Nebraska",47268.0,38700.0,36228.0
"Finney County, Kansas",41964.0,38100.0,34116.0
"Fisher County, Texas",47268.0,40260.0,38280.0
"Flagler County, Florida",34424.0,33324.0,38148.0
"Flathead County, Montana",41496.0,39324.0,35676.0
"Fleming County, Kentucky",37856.0,33708.0,41784.0
"Florence County, South Carolina",39052.0,37824.0,42516.0
"Florence County, Wisconsin",24232.0,26556.0,37512.0
Florida,54496.0,47736.0,68544.0
"Florida Municipio, Puerto Rico",18512.0,18264.0,21996.0
"Floyd County, Georgia",44616.0,39636.0,41136.0
"Floyd County, Indiana",42692.0,39732.0,34728.0
"Floyd County, Iowa",47736.0,40224.0,35892.0
"Floyd County, Kentucky",39728.0,36024.0,33804.0
"Floyd County, Texas",35204.0,33480.0,38448.0
"Floyd County, Virginia",29016.0,28284.0,41028.0
"Fluvanna County, Virginia",42120.0,38856.0,29688.0
"Foard County, Texas",30992.0,28020.0,31776.0
"Fond du Lac County, Wisconsin",47996.0,43284.0,30144.0
"Ford County, Illinois",46384.0,40008.0,33132.0
"Ford County, Kansas",49972.0,39876.0,37548.0
"Forest County, Wisconsin",32188.0,34956.0,40188.0
"Forrest County, Mississippi",39364.0,37764.0,33504.0
"Forsyth County, Georgia",52052.0,46992.0,40608.0
"Forsyth County, North Carolina",60060.0,48276.0,38196.0
"Fort Bend County, Texas",54652.0,48468.0,33132.0
"Foster County, North Dakota",45968.0,42240.0,36492.0
"Fountain County, Indiana",36972.0,33456.0,36828.0
"Franklin City, Virginia",30888.0,28476.0,55920.0
"Franklin County, Alabama",36140.0,34260.0,33768.0
"Franklin County, Arkansas",38168.0,33588.0,33888.0
"Franklin County, Florida",30680.0,30576.0,31992.0
"Franklin County, Georgia",37180.0,34536.0,42816.0
"Franklin County, Idaho",30888.0,28836.0,30792.0
"Franklin County, Illinois",36712.0,35292.0,37188.0
"Franklin County, Indiana",34164.0,31164.0,32028.0
"Franklin County, Iowa",41600.0,39360.0,37572.0
"Franklin County, Kansas",40456.0,36516.0,36744.0
"Franklin County, Kentucky",42796.0,41220.0,37116.0
"Franklin County, Maine",38220.0,34764.0,43428.0
"Franklin County, Massachusetts",45084.0,40332.0,51264.0
"Franklin County, Mississippi",41028.0,37104.0,36780.0
"Franklin County, Missouri",42848.0,39300.0,28608.0
"Franklin County, Nebraska",27300.0,29784.0,34164.0
"Franklin County, New York",40092.0,42240.0,38844.0
"Franklin County, North Carolina",45916.0,40308.0,43932.0
